,title,date,keywords,section
0,在劳动中书写巾帼华章,2017-05-01,"劳动,文化,中国航天科技集团公司",4  
1,“巾帼建功”活动将不断深入,1994-10-07,"“巾帼建功”,妇女,就业",3  
2,巾帼创业谱新篇（每月聚焦）,1997-12-15,"下岗女工,再就业,创业",11  
3,扎实推进“巾帼建功”活动 促进妇女创业就业建功成才,2009-02-19,"妇女,“巾帼建功”,就业",3  
4,三总部举行巾帼建功事迹报告会,1991-03-08,"事迹报告会,三总部,解放军总参谋部",4  
5,心系下岗职工 默默倾情奉献（巾帼风采）,2003-02-13,"下岗职工,就业,劳动保障局服务队",16  
6,巾帼扶贫加大攻坚力度,1998-01-10,"济困,巾帼扶贫,妇女",7  
7,亮丽“半边天”,1997-01-23,"女工,“巾帼建功示范岗”,就业",3  
8,《中华巾帼大典》序,1998-10-14,"《中华巾帼大典》,妇女,社会主义",12  
9,再就业闯出新天地（记者调查）,1999-08-26,"巾帼家政服务中心,女工,巾帼缝纫编织服务队",10  
10,巾帼创业行动 扶持！,2009-10-12,"巾帼创业,创业行动,妇女",5  
11,表彰全国巾帼文明岗巾帼建功标兵优秀女法官,2009-03-03,"模范,巾帼文明岗,表彰",4  
12,绿茵巾帼,1993-10-08,绿茵巾帼,11  
13,安置下岗女工 开展社区服务,1999-11-16,"下岗女工,社区,社区服务",3  
14,巾帼文明地税花,2001-03-24,"文化,巾帼文明,“巾帼建功”",7  
15,“巾帼状元”争贡献,1992-03-08,"“巾帼状元”,半边天,坚持",3  
16,青岛　有支巾帼文明队,2002-09-08,"巾帼文明队,妇女,文化",7  
17,巾帼建功 十年辉煌,2001-03-24,"妇女,“巾帼建功”,就业",7  
18,扶贫攻坚　尽显巾帼豪气（巾帼扶贫行动）,1999-03-11,"济困,扶贫攻坚,妇女",12  
19,巾帼主题志愿服务活动启动,2015-12-06,"志愿服务活动,巾帼主题志愿,志愿者",4  
20,全国妇联启动巾帼志愿服务,2011-01-18,"“巾帼志愿服务胸卡”,“爱心妈妈”,“巾帼志愿服务”",13  
21,城镇妇女“巾帼建功”成效明显,1999-01-27,"“巾帼建功”,城镇妇女,成果",3  
22,《中华巾帼大典》问世,1998-10-14,"《中华巾帼大典》,中国经济出版社,妇女",12  
23,《巾帼悲歌》在京首映,1991-01-27,"《巾帼悲歌》,《李自成》,“慧梅之死”",4  
24,巾帼志愿者在行动,2001-07-25,"巾帼志愿者,妇女,志愿者队伍",12  
25,历史塑造了她们（品书札记）,1987-03-07,"历史,战士,创新",8  
26,《巾帼悲歌》观后,1991-03-21,"《巾帼悲歌》,观后,思想",5  
27,创业创新巾帼行动开展,2015-06-17,"创新巾帼行动,创业创新,妇女",6  
28,“巾帼英雄”的传说（小资料）,1998-05-09,"“巾帼英雄”,公文,花木兰",7  
29,绿茵巾帼赛男儿,1994-02-25,"绿茵巾帼赛,巾帼赛男儿",11  
30,中国妇女运动的记载,1997-08-18,"妇女工作,“巾帼园”,《人民日报》",11  
31,推动巾帼家政健康发展,2014-03-28,"巾帼家政,家政健康发展,家政服务",6  
32,巾帼志愿者 爱心暖周边,2015-12-05,"巾帼志愿者,社区,妇女",7  
33,“百千万巾帼大宣讲”活动启动,2017-11-28,"“百千万巾帼大宣讲”,妇女,代表",9  
34,青岛妇联巾帼联户活动促社会和谐,2008-03-09,"巾帼联户,社区,妇女",9  
35,全国“巾帼扶贫行动”硕果累累,1997-05-09,"“巾帼扶贫行动”,国务院妇女儿童工作委员会,济困",3  
36,“巾帼建功”活动成为吸引妇女的有效载体,2003-12-24,"“巾帼建功”,城镇妇女,“巾帼社区服务工程”",2  
37,城镇“巾帼建功”活动开创新局面,1998-01-23,"“巾帼建功”,会议,领导小组",3  
38,浦东新区建巾帼大厦,1993-04-26,"大楼,巾帼大厦,人民币",1  
39,插上建功立业的翅膀,2000-03-07,"妇女,“巾帼建功”,建功立业",11  
40,巾帼志愿者　涓涓暖流汇和谐,2011-11-17,"巾帼志愿者协会,资源,母亲",6  
41,培训贫困妇女 撬动致富杠杆,2018-01-16,"妇女,培训,创业",11  
42,纺织系统表彰“巾帼建功”标兵,1992-03-07,"模范,“巾帼建功”,表彰",2  
43,武汉巾帼家政服务信息化,2000-01-12,"家政服务,巾帼家政,武汉巾帼",3  
44,全总首次颁发“全国五一巾帼奖”,2005-02-25,"“全国五一巾帼奖”,辽宁省沈阳鼓风机有限公司,颁布",4  
45,全总表彰全国五一巾帼奖获得者,2013-03-07,"五一巾帼,表彰,获得者",17  
46,全国妇联倡议“争做巾帼好网民”,2017-05-06,"“争做巾帼好网民”,倡议,网络",6  
47,“巾帼再就业资金”在辽宁,2003-02-13,"“巾帼再就业资金”,下岗失业妇女,妇女",16  
48,建功立业　不让须眉分寸（巾帼助困行动）,1999-03-11,"“巾帼建功”,就业,杯赛",12  
49,提高妇女素质 促进劳动就业,2002-01-19,"妇女,就业,劳动",4  
50,巾帼创业谱新篇,2003-08-24,"创业,妇女,就业",6  
51,巾帼也有拔山之力,1986-11-19,"比赛,第一名,女子举重队",3  
52,城镇妇女“巾帼建功”活动蓬勃兴起,1992-01-17,"“巾帼建功”,城镇妇女,经验交流会",3  
53,妇联开展乡村振兴巾帼行动,2018-02-13,"乡村振兴,振兴巾帼行动,农村",10  
54,送法到基层（贯彻实施《中国妇女发展纲要》《中国儿童发展纲要》）,2004-04-21,"“巾帼司法顾问团”,《中国儿童发展纲要》,《中国妇女发展纲要》",10  
55,“百个巾帼好网民故事”揭晓,2018-02-10,"网民,故事,中央网信办网络社会工作局",6  
56,巾帼文明示范岗,2001-10-17,"文明示范岗,巾帼文明,文化",10  
57,《巾帼风采》图片展在京举行,1995-09-16,"《巾帼风采》,图片展,全国工商联女企业家联谊会",2  
58,“巾帼示范村”创建点全覆盖,2008-02-23,"“巾帼示范村”,妇女工作,农村",7  
59,带着诚信上门 服务用户上心,2017-01-03,"妇女,家政服务有限公司,巾帼家政服务联盟",9  
60,巾帼（红色家园）,2016-10-03,"张琴秋,红军,夫妇",8  
61,《绿苑巾帼》出版,1995-08-25,"《绿苑巾帼》,出版,首发式",5  
62,上海一批妇女荣获“巾帼奖”,1986-03-08,"“巾帼奖”,妇女,创新",4  
63,剥去“巾帼英雄”的画皮,1969-01-25,"“巾帼英雄”,许凤之,剥去",4  
64,巾帼不让须眉,2017-03-08,"首席科学家,“决心”,乔安·斯道克",3  
65,为打赢脱贫攻坚战贡献巾帼力量,2016-10-16,"脱贫攻坚,贫困妇女,全国妇联党组",11  
66,全国化工系统举行巾帼建功表彰会,1992-03-06,"化工系统,全国化工,表彰会",3  
67,李岚清会见“巾帼建功”报告团成员,1994-03-09,"“巾帼建功”,报告团,社会主义市场经济",4  
68,『恒安杯·巾帼风采』散文征文启事,1995-04-04,"散文征文,巾帼风采,恒安杯",12  
69,巾帼志愿者十大暖心故事揭晓,2018-06-14,"故事,巾帼志愿者,志愿者暖心",11  
70,帮人是一种幸福,2015-03-08,"孙蓉,涪陵红十字志愿者大队,奖章",4  
71,五年培养六千贫困农家女（扶贫开发先进典型）,2014-10-27,"济困,海南省经济技术学校,农家女",10  
72,陕西岚皋：巾帼脱贫在行动,2016-10-12,"脱贫,妇女,朋诚制衣有限公司",15  
73,全国妇女“巾帼建功”活动领导小组举行会议,2006-01-19,"妇女,“巾帼建功”,领导小组",4  
74,九位优秀妇女在京介绍建设祖国动人事迹,1991-03-04,"妇女,建设,演说",4  
75,巾帼力士得到企业支持,1995-06-27,"巾帼力士,企业,中国女子举重队",8  
76,“全国五一巾帼奖”揭晓,2007-03-01,"“全国五一巾帼奖”,职工队伍,先进集体",10  
77,大型画册《巾帼风采》首发式在京举行,2008-11-14,"《巾帼风采》,首发式,大型画册",4  
78,女护士紧缺　男护士更缺,2005-05-13,"护士,中国,专科医院",11  
79,“践行雷锋精神·百万巾帼志愿者在行动”活动启动,2012-03-02,"雷锋精神,巾帼志愿,社区",4  
80,最大限度地激发妇女创造活力,2008-01-11,"创新,激发妇女,限度地激发",4  
81,1013个单位　获“全国巾帼文明岗”称号,2008-04-29,"“全国巾帼文明岗”,视频会议,妇女",10  
82,《特殊连队》《巾帼列传》再现红军英雄壮举,1987-05-16,"《特殊连队》,《巾帼列传》,红军",3  
83,中央国家机关表彰“巾帼建功”标兵,1992-03-09,"表彰,中央国家机关,“巾帼建功”",4  
84,2017年河北巾帼志愿者注册人数达203万人,2018-01-11,"志愿者,巾帼志愿,河北省政府新闻办",6  
85,巾帼不让须眉（动感2005）,2005-07-17,"龙舟赛,揭碑,竞争",7  
86,2018年度“争做巾帼好网民”主题活动启动,2018-06-27,"“争做巾帼好网民”,主题活动,2018年度",9  
87,发挥聪明才智 立志建功成才（在中国妇女第八次全国代表大会上）,1998-09-04,"妇女,建功成才,聪明才智",3  
88,在创先争优中展现巾帼风采,2011-03-08,"创先争优,妇女,展现巾帼风采",2  
89,巾帼抢险逞英雄,1996-09-10,"城区中心城南防汛指挥部,武警,母亲",11  
90,全国巾帼文明岗迎奥运誓师大会在京举行,2007-09-08,"奥运会,巾帼文明岗,文化",4  
91,中华巾帼网球赛举行,1995-09-01,"中华巾帼,比赛,科学家",8  
92,巾帼文明示范岗,1998-04-07,"文明示范岗,巾帼文明,文化",3  
93,留住晚霞满天（时代先锋）,2014-03-22,"志愿者,史凤美,“巾帼挽霞”",6  
94,激励妇女投身经济建设,2004-12-22,"投身经济建设,激励妇女投身,“巾帼建功”",4  
